Gato [vista=50, oido=56, reflejos=48, nombre=Rasputín9, raza=Siamés, vidas=3]
Gato [vista=48, oido=94, reflejos=54, nombre=Rasputín4, raza=Siamés, vidas=5]
Gato [vista=66, oido=30, reflejos=86, nombre=Rasputín0, raza=Siamés, vidas=5]
Gato [vista=93, oido=100, reflejos=27, nombre=Rasputín7, raza=Siamés, vidas=7]
Gato [vista=98, oido=72, reflejos=67, nombre=Rasputín6, raza=Siamés, vidas=7]
Gato [vista=82, oido=98, reflejos=85, nombre=Rasputín8, raza=Siamés, vidas=7]
Gato [vista=75, oido=83, reflejos=87, nombre=Rasputín5, raza=Siamés, vidas=7]
Gato [vista=49, oido=72, reflejos=92, nombre=Rasputín1, raza=Siamés, vidas=7]
Gato [vista=78, oido=97, reflejos=53, nombre=Rasputín0, raza=Siamés, vidas=5]
Gato [vista=64, oido=44, reflejos=64, nombre=Rasputín8, raza=Siamés, vidas=1]
Gato [vista=43, oido=65, reflejos=64, nombre=Rasputín6, raza=Siamés, vidas=1]
Gato [vista=43, oido=67, reflejos=74, nombre=Rasputín9, raza=Siamés, vidas=3]
Gato [vista=30, oido=51, reflejos=86, nombre=Rasputín5, raza=Siamés, vidas=1]
Gato [vista=26, oido=64, reflejos=97, nombre=Rasputín7, raza=Siamés, vidas=3]
Gato [vista=61, oido=54, reflejos=98, nombre=Rasputín4, raza=Siamés, vidas=5]
